Movie;IMDb ID;IMDb Rating;Gross Revenue;Budget;Net Profit
The Color of Money;0090863;7.0;52293982;13800000;38493982
The Color Purple;0088939;7.8;146292009;15000000;131292009
The Man Who Understood Women;0053043;4.7;;;
Colossus: The Forbin Project;0064177;7.2;;;
The Comfort of Strangers;0099292;6.4;1244381;;
Como agua para chocolate;0103994;7.2;21665500;;
Compulsion;0052700;7.5;;;
Winstanley;0073911;7.3;;;
Bolshevism on Trial;0009950;5.9;;;
The Constant Nymph;0035751;7.0;;;
Cool Hand Luke;0061512;8.2;16217773;3000000;13217773
The Count of Monte Cristo;0245844;7.7;75395048;35000000;40395048
The Comedians;2980734;6.8;;;
Conagher;0101609;7.5;;;
Arsene Lupin;0006373;6.8;;;
Confessions d'un Barjo;0104003;5.8;;;
Congo;0112715;5.0;152022101;50000000;102022101
Novye priklyucheniya yanki pri dvore korolya Artura;0307245;7.3;;;
The Constant Gardener;0387131;7.5;;;
Contact;0118884;7.4;171120329;90000000;81120329
Cool Hand Luke;0061512;8.2;16217773;3000000;13217773
Cops and Robbers;4717208;;;;
Juan del Diablo;1637284;;;;
Coroner Creek;0040245;6.7;;;
The Cowboys;0068421;7.4;7500000;6000000;1500000
Earth;0393597;8.0;;;
Crash;0115964;6.4;3168660;9000000;-5831340
Creator;0088960;6.1;5349607;;
El crimen del Padre Amaro;0313196;6.8;5709616;1800000;3909616
Crossfire Trail;0218127;7.0;;;
Wo hu cang long;0190332;7.9;213525736;15000000;198525736
The Cruel Sea;0045659;7.7;;;
Cry_Wolf;0384286;5.9;15585495;1000000;14585495
Cutter's Way;0082220;6.9;;3000000;
The Six Million Dollar Man;0071054;7.2;;;
Skyfall;1074638;7.8;1108561013;200000000;908561013
Murder, She Wrote;0086765;6.8;;;
The Da Vinci Code;0382625;6.5;758239851;125000000;633239851
Dad;0097142;6.1;19738015;19000000;738015
Damage;0104237;6.9;7532911;;
Damnation Alley;0075909;5.2;8720000;17000000;-8280000
The Damned United;1226271;7.6;449558;10000000;-9550442
The Dancer Upstairs;0118926;7.0;5227348;;
Dances with Wolves;0099348;8.0;424200000;19000000;405200000
A Dandy in Aspic;0062859;6.2;;;
The Dangerous Lives of Altar Boys;0238924;7.1;1779284;12000000;-10220716
Daniel Deronda;0321897;7.4;;;
Danny, the Champion of the World;;;;;
Darby O'Gill and the Little People;0052722;7.2;;;
Limitless (2011);;;;;
The Seeker: The Dark is Rising;;;;;
The Mercenaries;0062863;7.0;;;
Dark Passage;0039302;7.6;;;
The Personal History, Adventures, Experience, & Observation of David Copperfield the Younger;0026266;7.6;;;
August 1;0237009;6.6;;;
The Day of the Locust;0072848;7.1;17793000;;
The Day of the Triffids;0055894;6.1;;750000;
When Time Ran Out (1980);;;;;
The Day They Robbed the Bank of England;0053752;6.6;;;
The Sacketts;0079840;7.8;;;
Dead Calm;0097162;6.8;7825009;;
Dressed to Kill;0080661;7.1;31899000;6500000;25399000
The Dead Zone;0085407;7.2;20766000;10000000;10766000
Deadline at Dawn;0038458;6.8;;;
Shuang xia;0069540;6.9;;;
Australian Rules (2002);;;;;
Dealing: Or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues;0068455;6.2;;;
Dear John;0094447;6.9;;;
The End of the River;0039356;5.7;;;
Death on the Nile;0077413;7.2;14560084;;
Death Sentence (2007);;;;;
Death Wish;0071402;7.0;22000000;3000000;19000000
The Deceivers;0094979;6.0;346297;;
December Boys;0465436;6.6;46474;4000000;-3953526
The Deep;0075925;6.1;47346365;9000000;38346365
The Deep End of the Ocean;0120646;6.3;27655433;40000000;-12344567
Deliverance;0068473;7.8;46122355;2000000;44122355
Deluge;0023938;6.1;;171000;
Potop;0072021;7.9;;;
Demon Seed;0075931;6.3;;;
Vertigo;0052357;8.4;25000000;2479000;22521000
Derailed;0298296;3.9;;18000000;
Desert Fury;0039311;6.7;;;
Desert Gold;0027511;5.8;;;
Gold of the Seven Saints;0054934;6.4;;;
Desert Hearts;0089015;7.0;2492088;1250000;1242088
The Desperate Hours;0047985;7.6;;2388000;
Destry Rides Again;0031225;7.8;;;
The Detective;0062883;6.5;;;
Detective (2005);;;;;
The Devil Rides Out;0062885;7.1;;;
The Devil Wears Prada;0458352;6.8;326551094;35000000;291551094
Des Teufels Advokat;0078378;6.4;;;
The Devil's Advocate;0118971;7.5;152944660;57000000;95944660
The Witches;0060307;5.9;;;
The Possessed;0066703;8.4;;;
The Devils;0066993;7.8;;;
Le diable au corps;0038476;7.3;;;
The Kingfisher Caper;0073247;4.6;;;
Diamonds Are Forever;0066995;6.7;116000000;7200000;108800000
The Glory Guys;0059232;6.2;;;
The Dirty Dozen;0061578;7.8;45300000;;
Dirty Weekend;3194590;5.0;;;
Disappearing Acts (2000);;;;;
Disclosure;0109635;6.0;214015089;32000000;182015089
Scream and Scream Again;0064949;5.7;;;
Le mépris;0057345;7.7;528428;900000;-371572
A Distant Trumpet;0058019;6.4;;;
Divine Secrets of the Ya-Ya Sisterhood;0279778;5.9;73839240;27000000;46839240
Le Divorce (2003);;;;;
Blade Runner;0083658;8.2;32868943;28000000;4868943
Doctor at Large;0066648;7.4;;;
Half Moon Street;0091164;5.3;1131399;;
Doctor Zhivago;0059113;8.0;111721910;11000000;100721910
Dodsworth;0027532;8.1;;;
The Dogs of War;0080641;6.3;;;
Who'll Stop the Rain;0078490;6.9;;;
Don Quichotte;0231483;7.5;;;
Donovan's Brain;0045699;6.0;;;
Gas Food Lodging;;;;;
Don't Say a Word;0260866;6.3;100020092;50000000;50020092
Frankie Starlight;0113107;6.7;78168;;
Double Indemnity;0036775;8.4;;927262;
I Love Trouble;0110093;5.2;61947267;45000000;16947267
Down Will Come Baby;0191972;5.9;;;
Dracula;0103874;7.5;215862692;40000000;175862692
The Flight of Dragons;0083951;7.8;;;
Dragon Seed;0036777;6.2;;3000000;
Dragonlance: Dragons of Autumn Twilight;;;;;
The Reluctant Dragon;1473430;;;;
Dreamscape;0087175;6.3;11484000;;
Dreamcatcher;0285531;5.5;75715436;68000000;7715436
Drift Fence;0027551;5.6;;;
Dr. No;0055928;7.3;59600000;1100000;58500000
Drood;;;;;
The Drowning Pool;0072912;6.5;;;
Drums Along the Mohawk;0031252;7.2;;;
The Drums of Jeopardy;0021820;5.8;;;
The Dude Ranger;0025073;6.4;;;
Duel in the Sun;0038499;6.9;;8000000;
Children of Dune;0287839;7.7;;20000000;
Agit;0068181;7.1;;;
Dying Young;0101787;5.9;82264675;;
The Eagle Has Landed;0074452;6.9;;6000000;
The Eagle (2011);;;;;
East of Eden;0048028;8.0;;;
The 13th Warrior;0120657;6.6;32698899;85000000;-52301101
Eddie and the Cruisers;0085475;6.8;4786789;;
The Egyptian;0046949;6.6;;5000000;
The Seventh Scroll;0272836;6.1;;;
Election;0126886;7.3;14879556;8000000;6879556
Elephant Walk;0046951;6.3;3000000;3000000;0
Elles n'oublient jamais;0109721;5.6;;;
Ellis Island;0086705;7.0;;;
Elmer Gantry;0053793;7.9;11336000;3000000;8336000
Emma;1366312;8.2;;;
Emil and the Detectives;0058056;6.5;;;
Emotional Arithmetic;0861704;6.1;;6800000;
Empire of the Sun;0092965;7.8;66700000;35000000;31700000
Enchanted April;0101811;7.4;13200170;;
Wake Up and Dream;0039092;6.4;;;
The End of the Affair;0172396;7.2;10660147;23000000;-12339853
Endless Love;2318092;6.3;23393765;20000000;3393765
Enduring Love;0375735;6.4;358262;;
Enemies of Women;0014021;4.0;;;
The Enemy Below;0050356;7.6;;;
Enemy Mine;0089092;6.9;12303411;40000000;-27696589
The English Patient;0116209;7.4;231976425;27000000;204976425
Enigma (2001);;;;;
The Entity;0082334;6.6;13277558;;
Eragon;0449010;5.1;249488115;100000000;149488115
Escape;0032447;7.1;;;
Escape to Witch Mountain;0072951;6.3;;;
The Evening Star;0116240;5.8;12767815;;
Everybody's All-American;0095119;6.2;12638294;;
Everything Is Illuminated;0404030;7.5;1705595;7000000;-5294405
The Yellow Canary;0057700;7.2;;;
Evil Under the Sun;0083908;7.0;6110000;;
Cape Fear;0101540;7.3;182300000;35000000;147300000
Executive Suite;0046963;7.4;;;
Exit To Eden;;;;;
Exit Wounds;0242445;5.5;79958599;33000000;46958599
Exodus;0053804;6.8;21750000;4000000;17750000
The Exorcist;0070047;8.0;441306145;8000000;433306145
Experiment Perilous;0036807;6.4;;;
Extension du domaine de la lutte;0211359;6.9;;;
Extremely Loud & Incredibly Close;0477302;6.9;55247881;;
Mortelle randonnée;0084358;7.3;;;
Fanaa;0439662;7.2;2100110;;
Fahrenheit 451;0060390;7.3;;1500000;
Fail-Safe;0058083;8.0;;;
The Angel Wore Red;0053601;5.6;;;
The Fall of a Nation;0006664;5.1;;;
Angel Heart;0092563;7.3;17185632;17000000;185632
False Witness;1090903;5.6;;;
The One and Only, Genuine, Original Family Band;0063389;6.5;;;
The Partridge Family;0065333;6.5;;;
The Fan;0116277;5.8;18573791;55000000;-36426209
The Fan;0082362;5.7;;;
Fantastic Mr. Fox;0432283;7.8;46471023;40000000;6471023
Far from the Madding Crowd;2935476;7.1;12229314;;
Ba wang bie ji;0106332;8.1;5216888;;
A Farewell to Arms;0050379;5.9;25000000;4353000;20647000
Farewell to the King;0097334;6.3;2420917;20000000;-17579083
Face Is the Hunter;;;;;
Das Wunder des Malachias;0055183;7.6;;;
Gods and Monsters;0120684;7.5;6390032;3500000;2890032
Father's Little Dividend;0043526;6.6;;;
Taps;0083169;6.7;35856053;14000000;21856053
Fear and Loathing in Las Vegas;0120669;7.7;10680275;18500000;-7819725
Killer Elite;1448755;6.5;25093607;35000000;-9906393
The Lord of the Rings: The Fellowship of the Ring;0120737;8.8;871530324;93000000;778530324
Cet obscur objet du désir;0075824;8.0;55261;;
Femmes de personne;0085530;5.1;;;
Le feu follet;0057058;8.1;;;
Fever Pitch;0332047;6.2;42071069;30000000;12071069
