Book,Movie,IMDb ID,IMDb Rating,Gross Revenue,Budget,Net Profit
The Home and the World,Ghare-Baire,tt0087328,7.7,,,
If I Die Before I Wake,The Lady from Shanghai,tt0040525,7.7,7927,2300000,-2292073
The Invisible Man (H.G. Wells),The Invisible Man,tt0024184,7.7,,,
Kings Row,Kings Row,tt0034946,7.7,,,
The Killer Angels,Gettysburg,tt0107007,7.7,10769960,25000000,-14230040
Law and Order,Law & Order,tt0098844,7.7,,,
Les Liaisons dangereuses,Dangerous Liaisons,tt0094947,7.7,34700000,14000000,20700000
The Long Goodbye,The Long Goodbye,tt0070334,7.7,959000,,
Man on Fire,Man on Fire,tt0328107,7.7,130293714,70000000,60293714
Mildred Pierce,Mildred Pierce,tt1492030,7.7,,,
Mud on the Stars',Wild River,tt0054476,7.7,,,
Nicholas Nickleby,The Life and Adventures of Nicholas Nickleby,tt0253312,7.7,,,
The Sand Pebbles,The Sand Pebbles,tt0060934,7.7,30017647,12000000,18017647
The Scarlet Pimpernel,The Scarlet Pimpernel,tt0084637,7.7,,,
Sense and Sensibility,Sense and Sensibility,tt0114388,7.7,135000000,16500000,118500000
The Shrinking Man,The Incredible Shrinking Man,tt0050539,7.7,,750000,
The Shootist,The Shootist,tt0075213,7.7,13406138,,
The Song of Bernadette,The Song of Bernadette,tt0036377,7.7,,2000000,
The Spy Who Came in from the Cold,The Spy Who Came in from the Cold,tt0059749,7.7,,,
Stardust (Neil Gaiman),Stardust,tt0486655,7.7,135560026,70000000,65560026
The Taking of Pelham One Two Three,The Taking of Pelham One Two Three,tt0072251,7.7,,,
"To Sir, With Love","To Sir, with Love",tt0062376,7.7,42432803,640000,41792803
Around the World in Eighty Days,La vuelta al mundo de Willy Fog,tt0135114,7.7,,,
True Grit,True Grit,tt1403865,7.7,252276927,38000000,214276927
The Twenty-fifth Hour,25th Hour,tt0307901,7.7,13060843,15000000,-1939157
Twilight (Stephenie Meyer),Moonlight,tt0955346,7.7,,,
The Virginian: A Horseman of the Plains,The Virginian,tt0055710,7.7,,,
The Wages of Fear,Sorcerer,tt0076740,7.7,9000000,12000000,-3000000
Walkabout,Walkabout,tt0067959,7.7,,,
Watership Down,Watership Down,tt0078480,7.7,,,
Where Eagles Dare,Where Eagles Dare,tt0065207,7.7,,,
Who Censored Roger Rabbit?,Who Framed Roger Rabbit,tt0096438,7.7,349200000,70000000,279200000
The Warriors (Sol Yurick),The Warriors,tt0080120,7.7,22490039,,
Adventures of Huckleberry Finn,The Adventures of Mark Twain,tt0088678,7.6,849915,,
The Adventures of Tom Sawyer,The Adventures of Mark Twain,tt0088678,7.6,849915,,
American Psycho,American Psycho,tt0144084,7.6,34266564,7000000,27266564
The Assassination of Jesse James by the Coward Robert Ford,The Assassination of Jesse James by the Coward Robert Ford,tt0443680,7.6,3904982,30000000,-26095018
The Bishop's Wife,The Bishop's Wife,tt0039190,7.6,,,
Brothers by Blood,Elling,tt0279064,7.6,313436,,
The Call of the Wild,"What a Nightmare, Charlie Brown!",tt0076911,7.6,,,
The Damned Utd,The Damned United,tt1226271,7.6,449558,10000000,-9550442
Dark Passage,Dark Passage,tt0039302,7.6,,,
David Copperfield,"The Personal History, Adventures, Experience, & Observation of David Copperfield the Younger",tt0026266,7.6,,,
The Desperate Hours (Joseph Hayes),The Desperate Hours,tt0047985,7.6,,2388000,
The Enemy Below,The Enemy Below,tt0050356,7.6,,,
Father Malachy's Miracle,Das Wunder des Malachias,tt0055183,7.6,,,
"First Love, Last Rites",Schmetterlinge,tt0096052,7.6,,,
The Flight of the Phoenix,The Flight of the Phoenix,tt0059183,7.6,,,
Fried Green Tomatoes at the Whistle Stop Cafe,Fried Green Tomatoes,tt0101921,7.6,119418501,11000000,108418501
Green for Danger,Green for Danger,tt0038577,7.6,,,
The Guilty Head,Die Fälscher,tt0813547,7.6,5483549,,
The Guns of Navarone,The Guns of Navarone,tt0054953,7.6,28900000,6000000,22900000
The Harder They Fall,The Harder They Fall,tt0049291,7.6,,,
Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,tt0330373,7.6,896911078,150000000,746911078
The Haunting of Hill House,The Haunting,tt0057129,7.6,2616000,1400000,1216000
High Fidelity,High Fidelity,tt0146882,7.6,27277055,20000000,7277055
The Hound of the Baskervilles,The Hound of the Baskervilles,tt0031448,7.6,,,
The Hours (Michael Cunningham),The Hours,tt0274558,7.6,108846072,25000000,83846072
The Hunt for Red October,The Hunt for Red October,tt0099810,7.6,200512643,30000000,170512643
Interview with the Vampire,Interview with the Vampire: The Vampire Chronicles,tt0110148,7.6,223664608,60000000,163664608
The Island of Doctor Moreau,Island of Lost Souls,tt0024188,7.6,,,
Jean le Bleu,La femme du boulanger,tt0030127,7.6,,,
The Joy Luck Club,The Joy Luck Club,tt0107282,7.6,32861136,11000000,21861136
Jude the Obscure,Jude the Obscure,tt0066674,7.6,,,
"Kirishima, bukatsu yamerutteyo","Kirishima, bukatsu yamerutteyo",tt2142797,7.6,,,
The Lady of the Camellias,Camille,tt0028683,7.6,1688000,1486000,202000
The Last Detail,The Last Detail,tt0070290,7.6,,,
The Lusty Men,The Lusty Men,tt0044860,7.6,,,
Mrs. Frisby and the Rats of NIMH,The Secret of NIMH,tt0084649,7.6,14665733,7000000,7665733
Nevada (Zane Grey),Yellow Sky,tt0040978,7.6,5600000,,
Never Cry Wolf,Never Cry Wolf,tt0086005,7.6,29600000,,
No se lo Digas a Nadie,Ne le dis à personne,tt0362225,7.6,6177192,,
Of Mice and Men,Of Mice and Men,tt0105046,7.6,5101632,,
One Thousand and One Nights,The Thief of Bagdad,tt0033152,7.6,,,
The Picture of Dorian Gray,The Picture of Dorian Gray,tt0037988,7.6,,3500000,
The Reader,The Reader,tt0976051,7.6,34194407,32000000,2194407
Return of the Living Dead,More Brains! A Return to the Living Dead,tt2011972,7.6,,,
The River (Rumer Godden),The River,tt0043972,7.6,,,
Shen Mu,Mang jing,tt0351299,7.6,33272,,
Shoeless Joe,Field of Dreams,tt0097351,7.6,84431625,,
Sideways,Sideways,tt0375063,7.6,109706931,12000000,97706931
Stars In My Crown,Stars in My Crown,tt0042998,7.6,2146000,1175000,971000
Tarzan (Edgar Rice Burroughs),Tarzan and His Mate,tt0025862,7.6,,1279142,
Thieves Like Us,They Live by Night,tt0040872,7.6,,,
The Time Machine (H.G. Wells),The Time Machine,tt0054387,7.6,,750000,
Vengeance: The True Story of an Israeli Counter-Terrorist Team,Munich,tt0408306,7.6,130358911,70000000,60358911
The Vicomte of Bragelonne: Ten Years Later,The Iron Mask,tt0020030,7.6,,,
Winnie-the-Pooh,The Many Adventures of Winnie the Pooh,tt0076363,7.6,,,
Women in Love (D. H. Lawrence),Women in Love,tt0066579,7.6,,1250000,
The Women of Brewster Place,The Women of Brewster Place,tt0098674,7.6,,,
Yaju no seishun,Yajû no seishun,tt0057697,7.6,,,
American Splendor,American Splendor,tt0305206,7.5,6003587,,
Anna and the King of Siam,The King and I,tt0049408,7.5,21300000,4550000,16750000
L'Assommoir,Gervaise,tt0049259,7.5,,,
The Bad Seed,The Bad Seed,tt0048977,7.5,,1000000,
Before the Fact,Suspicion,tt0034248,7.5,4500000,1103000,3397000
Billy Liar,Billy Liar,tt0056868,7.5,35609,,
The Bridges of Madison County,The Bridges of Madison County,tt0112579,7.5,182016617,35000000,147016617
Canterbury Tales,Canterbury Tales,tt0353045,7.5,,,
Compulsion,Compulsion,tt0052700,7.5,,,
Conagher,Conagher,tt0101609,7.5,,,
The Constant Gardener,The Constant Gardener,tt0387131,7.5,82466670,,
The Devil's Advocate (Andrew Neiderman),The Devil's Advocate,tt0118971,7.5,152944660,57000000,95944660
Don Quixote (The Ingenious Gentleman Don Quixote of La Mancha),Don Quichotte,tt0231483,7.5,,,
Dracula (Bram Stoker),Dracula,tt0103874,7.5,215862692,40000000,175862692
Everything Is Illuminated,Everything Is Illuminated,tt0404030,7.5,1705595,7000000,-5294405
Father of Frankenstein,Gods and Monsters,tt0120684,7.5,6390032,3500000,2890032
The Friendly Persuasion,Friendly Persuasion,tt0049233,7.5,8000000,3000000,5000000
"From Russia, with Love",From Russia with Love,tt0057076,7.5,78900000,2000000,76900000
The Getaway (Jim Thompson),The Getaway,tt0068638,7.5,58831997,3352254,55479743
